Epoch_time_s,milliseconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz
1609459283,524,0.1347656,-1.005371,0.1337891,-18.80916,-0.5267176,3.053435
1609459283,789,0.2788086,-1.071289,-0.1665039,-1.748092,-39.9084,7.374046
1609459284,0,0.08105469,-0.8500977,-0.08251953,15.20611,-8.465649,4.259542
1609459284,268,0.1352539,-1.164063,0.0625,-15.64122,-72.28244,-10.45038
1609459284,537,0.1098633,-0.7568359,0.08740233,-0.1679389,25.91603,-2.312977
1609459285,0,0.1757812,-1.288574,-0.0415039,-27.70992,26.75572,10.9084
1609459285,265,0.1259766,-0.8959961,-0.1357422,-0.7175572,48.84733,17.13741
1609459285,532,-0.0390625,-1.019043,-0.2514648,19.00763,61.07634,1.931297
1609459285,801,-0.00634766,-1.057129,0.2543945,-6.89313,35.16031,-37.25191
1609459286,0,0.1064453,-0.9990234,0.07763672,3.152672,56.0687,-3.465649
1609459286,316,0.09570312,-0.8330078,0.0493164,56.75573,92.35114,12.57252
1609459286,579,0.2509766,-1.470703,0.1137695,77.87786,-37.09924,-22.47328
1609459286,844,-2.611816,0.7314453,0.1577148,49.09923,174.458,-87.66413
1609459287,0,-2.22998,0.796875,0.09863281,81.03053,109.7099,-68.39695
1609459287,267,-0.5048828,0.7563477,-0.1987305,-18.77863,8.572519,-86.24428
1609459287,537,-0.8164063,0.03759766,-0.2768555,-6.763359,9.625955,43.9771
1609459288,0,-0.8129884,0.1411133,-0.3837891,10.23664,13.27481,-2.786259
1609459288,270,-0.8525391,0.078125,-0.2802734,17.9542,-9.358779,4.374046
1609459288,543,-0.9296875,0.09667969,-0.3525391,-6.221374,6.908397,6.877862
1609459288,811,-0.9204102,0.1196289,-0.3486328,-4.312977,-3.40458,-2.938931
1609459289,0,-0.9243164,0.1279297,-0.3496094,-4.312977,3.320611,-1.442748
1609459289,274,-0.9555664,0.0703125,-0.3666992,-7.48855,-12.9771,-1.007634
1609459289,540,-0.9726563,0.09814453,-0.3232422,-8.923664,-5.068702,-0.7633588
1609459289,812,-0.9345703,0.1181641,-0.3417969,0.3435115,7.061069,0.7633588
1609459290,0,-0.9213867,0.1347656,-0.3388672,-4.366412,-3.969465,-1.068702
1609459290,252,-0.9213867,0.1333008,-0.3398438,-3.587786,0.6412213,-1.908397
1609459290,551,-0.9233398,0.1166992,-0.3833008,-4.175572,2.923664,-1.152672
1609459291,0,-0.9169922,0.1279297,-0.3300781,-5.007634,3.923664,-1.587786
1609459291,247,-0.9409181,0.1337891,-0.3735352,-2.70229,-19.64122,-15.80153
1609459291,498,-0.9521483,0.03564453,-0.2939453,-3.519084,-3.770992,-13.44275
1609459291,752,-1.017578,-0.1225586,-0.2573242,32.25191,-36.0229,-35.65649
1609459292,0,-1.024902,-0.2421875,-0.1079102,5.343512,-42.12977,-62.12977
1609459292,254,-1.347168,-0.1704102,-0.05908203,3.671756,-19.66412,-46.87786
1609459292,514,-0.7099609,-0.472168,0.2231446,-40.19084,-158.0458,-23.63359
1609459292,767,-0.08496094,-0.7075195,0.4868164,-18.90076,-75.01527,-9.839695
1609459293,0,-0.05810547,-0.6904297,0.5102539,-12.16031,-34.0916,-32.99237
1609459293,252,0.04589844,-0.7060547,0.6054688,-22.81679,-69.69466,-90.0687
1609459293,508,0.9643555,-0.590332,0.1430664,-12.10687,-11.1374,-66.70992
1609459293,765,1.041504,-0.765625,-0.1782227,-11.16794,-2.068702,42.0687
1609459294,0,0.4223633,-0.6972656,-0.08398438,-1.793893,23.54962,72.61069
1609459294,256,0.1118164,-0.5073242,-0.04101562,13.17557,-5.656488,84.46565
1609459294,513,-0.2299804,-1.07666,0.1391602,33.94656,-63.89313,62.01527
1609459294,822,-0.3422852,-0.7089844,0.5161133,20.37405,-11.81679,77.30534
1609459295,0,-0.4985352,-0.5068359,0.3901367,-19.34351,-7.083969,45.64885
1609459295,257,-0.6743164,-0.5610352,0.340332,-24.8855,-39.69466,29.83969
1609459295,513,-0.597168,-0.5708008,0.4311524,-0.7709923,-12.03817,2.312977
1609459295,770,-0.2626953,-0.7856445,0.5009766,-7.343512,19.16794,5.152672
1609459296,0,-0.2773438,-0.6621094,0.6040039,-21.75572,-4.366412,10.44275
1609459296,256,-0.5595703,-0.699707,0.5180664,-27.0458,21.37405,10.96183
1609459296,521,-0.4438476,-0.7358398,0.3339844,-19.82443,-35.87023,-16.96947
1609459296,782,-0.3417969,-0.875,0.453125,-5.175572,39.63359,-3.633588
1609459297,0,-0.4633789,-0.7426758,0.3774414,19.92366,3.862595,10.53435
1609459297,263,-0.3120117,-0.6567383,0.6704102,53.48092,29.56489,-34.75573
1609459297,522,-0.2065429,-0.628418,0.3999024,38.54198,83.56489,-91.44275
1609459298,0,-0.3232422,-0.6054688,0.5195313,-9.473283,68.46565,-90.94656
1609459298,265,-0.1625977,-1.057129,0.01220703,-43.99237,69.41985,-56.8855
1609459298,528,-0.1787109,-0.9179687,0.02832031,-19.35878,42.94656,-16.08397
1609459298,796,-0.03417969,-1.164063,-0.09521483,20.83206,41.74046,-14.54198
1609459299,0,-0.1342773,-0.7265625,0.190918,0.1908397,39.20611,6.122138
1609459299,260,-0.1811523,-0.9882813,0.2451172,-24.64122,24.78626,2.931298
1609459299,521,0.01025391,-1.013184,0.03125,18.44275,34.38168,13.60305
1609459299,788,-0.1157227,-0.9477539,0.0493164,13.54198,48.56488,-25.48855
1609459300,0,-0.02246094,-0.9311523,0.0571289,-9.641221,32.74046,-44.94656
1609459300,267,-0.05029297,-0.9091797,0.2905273,-28.01526,46.76336,-16.62595
1609459300,536,0.3120117,-1.149414,-0.2851563,-37.22901,-78.80916,0.04580153
1609459300,802,0.1923828,-0.9760742,-0.1713867,17.94657,2.48855,3.572519
1609459301,0,-0.09423828,-0.9223633,0.1381836,40.93893,55.92366,6.045802
1609459301,268,-0.04101562,-0.7827149,-0.0859375,-38.40458,-14.99237,-49.49618
1609459301,534,0.1269531,-0.8710938,-0.07910156,-25.78626,71.45038,-37.96947
1609459302,0,0.3681641,-1.072754,-0.4926758,-16.73282,-83.21374,47.80916
1609459302,274,0.08154297,-1.097168,-0.1196289,10.98473,9.091603,-10.25954
1609459302,544,0.1606445,-0.8813477,-0.08007812,-23.63359,101.8626,-51.92366
1609459302,814,0.6982422,-1.097168,-0.2666016,-19.57252,-63.92366,52.06107
1609459303,0,-0.125,-1.16748,-0.1606445,3.328244,61.52672,12.1145
1609459303,316,0.0727539,-0.9086915,0.04345703,2.900763,82.10687,-30.56489
1609459303,584,0.6098633,-1.095703,-0.3237305,22.52672,87.55725,94.70992
1609459303,853,-0.04394531,-1.004883,-0.2260742,22.47328,41.59542,2.022901
1609459304,0,0.5830078,-1.019531,-0.05029297,13.14504,76.29008,-55.16794
1609459304,304,0.3452148,-1.07373,-0.2539063,-2.740458,-103.9695,62.67175
1609459304,555,-0.07666016,-0.8891602,-0.0805664,30.0916,13.52672,34.76336
1609459305,0,0.2045898,-1.268066,-0.1782227,-75.56489,21.9084,-72.19847
1609459305,250,-0.1328125,-0.5634766,0.04052734,-41.75573,27.62595,-42.12977
1609459305,509,0.0756836,-1.080566,-0.2412109,13.32061,1.358779,43.74046
1609459305,760,0.2524414,-1.260742,0.03564453,-47.67939,-20.28244,8.854961
1609459306,0,-0.09472656,-0.8842773,0.04638672,53.9542,188.3282,-15.8626
1609459306,257,-0.2416992,-1.115723,-0.1767578,-39.67176,2.870229,-19.68702
1609459306,511,-0.05908203,-0.9326172,-0.05322266,25.63359,-9.503817,25.43511
1609459306,766,-0.09912108,-1.265137,-0.01464844,-2.984733,15.25191,-22.19084
1609459307,0,0.01660156,-0.9853517,0.04248047,-17.39695,98.86259,-46.10687
